a_id,user_id,repository_pair_id,annotation_date,synergy,direction,explanation
252,10,11,2020-05-04 09:15:46.958635+00:00,4,2,"I'd prefer to select 'None' for Synergy direction, but it is greyed out: I don't think the two Repos can directly benefit from each other, because they have clear, non-overlapping responsibilities. However, a new, third project could easily use both as dependencies, and benefit from their combination."
253,19,82,2020-05-04 09:16:00.739034+00:00,1,0,i see no synergy between Repository 1 and Repository 2. 
254,19,83,2020-05-04 09:42:36.211918+00:00,3,12,"So Paperless is a monitoring tool for scanned paper. My first thought was, okay is there a synergy? And, yes I have an Idea.
Every Document can be classified as e.g. bill, whitepaper, or just as a letter. But all of these documents have a structure and you know, without reading, this paper is a bill or a letter. So what if we use the logic from Face Recognition, depending on the used algorithm, eg. PCA to reduce the paper to his representative principal component. And classify the scanned paper in its Classification. Now the paperless would be able to know what for a paper was scanned and sort it."
255,19,84,2020-05-04 09:46:09.741292+00:00,1,0,django-menu creates navigation menus for websites. fuddly is a framework for modeling and plot data.
256,19,85,2020-05-04 09:54:51.757001+00:00,2,12,Add RBM to tensorflow-generative-model-collections
257,19,86,2020-05-04 09:57:13.511981+00:00,1,0, Cpppo a parser who parses commands into binary and send it via TCP/IP to an e.g L35E Maschine.
258,19,87,2020-05-04 09:59:24.222510+00:00,2,2,"Deep learning at the finest on both repositories, both repositories benefit from each other."
259,19,88,2020-05-04 10:08:09.884507+00:00,4,2,"There are some Repositories who combine Recat and NVD3, so this would be a good idea for python, too."
260,19,89,2020-05-04 10:14:35.726001+00:00,1,0,"Autospec helps you to create RPM´s and pdfcropmargins crops PDF´s, there is no synergy."
261,19,90,2020-05-04 10:25:52.695234+00:00,1,0,I cant see that there is a synergy
262,11,31,2020-05-04 23:00:30.441491+00:00,3,2,"Since both the repositories discuss about merging in Git, the features are interlinked between each other. But the details given in both repositiories are not the same but there are relations between them."
263,11,32,2020-05-04 23:10:19.968600+00:00,1,0,Both repos doesn't relate between each other. The first repo talks about a matcher that is used to match some objects and used for writing test cases. But the second repo discusses about pattern matching library which doesn't relate with the previous one. 
264,11,33,2020-05-04 23:21:07.113075+00:00,3,21,"Both the repositories briefs about words (language). The first repo deals with multilingual word embeddings library and ways to evaluate them but the second repo only explains about the three datasets (3 languages) and ways to process them, So repo 2 can be used with repo 1 to extent its functionalities"
265,11,34,2020-05-04 23:26:29.030045+00:00,1,0,"Both repositories are not related with each other. Even both repos covers about embedded systems, there is n relationship between them. The first repo talks about LED strands and the second repo talks about Zigbee home automation. So there couldn't be any synergy between them"
266,11,35,2020-05-04 23:32:49.556135+00:00,2,2,Both explain about Django but only some features like model (for example) can be related .
267,10,12,2020-05-05 10:03:22.977289+00:00,1,0,
268,10,13,2020-05-05 10:06:55.736421+00:00,4,2,I might be possible to use the code from Repo 1 to train the QA models from Repo 2 on an amazon EMR cluster.
270,10,15,2020-05-05 10:14:42.578076+00:00,4,2,"Both are Python libraries for home automation, and the set of supported devices appears to be non-overlapping, so potentially a new project could use both as subsystems to support all of the devices involved."
271,10,16,2020-05-05 10:19:06.096590+00:00,2,12,"Repo 1 is a collection of links to various software. Repo 2 is some kind of ROM database for a gaming emulation software called RetroArch. Since RetroArch itself is already included in the list in Repo1, it might make sense to include Repo 2 in this list, as well."
272,10,17,2020-05-05 10:44:38.674520+00:00,1,0,"Repository 1 probably uses some sort of tree data structure under the hood, but the one from Repo2 is for numerical keys only, and wouldn't apply here."
273,10,18,2020-05-05 11:20:37.829251+00:00,1,0,
274,10,19,2020-05-05 11:22:06.483410+00:00,3,12,Repo1 seems to implement various text classification algorithms. Repo2 has a particular word embedding implementation that could be used in classification. Both are implemented in Python.
275,10,20,2020-05-05 11:24:26.813600+00:00,1,0,Repo1 generates control flow graphs for java programs. Repo2 is implemented in Python.
276,10,21,2020-05-05 11:27:52.661868+00:00,1,0,"Weak potential for synergy, but really no common features: Repo1 is a generic system for orchestrating virtualized development environments that could potentially be used to develop Repo2, as well. "
277,10,22,2020-05-05 12:28:16.272691+00:00,1,0,"Both are Python libraries, but I see no potential synergy beyond a third project using both as dependencies by coincidence."
278,10,23,2020-05-05 12:30:05.265046+00:00,2,12,"Both repos contain course materials for the exact same data science course with different dates. Repo1 is a newer iteration of the course, so presumably it would have been built upon repo2."
279,10,24,2020-05-05 12:31:55.084975+00:00,3,21,"Both repositories implement fundamental data structures. The ones in repo1 appear to be more low-level, and could perhaps be used as a foundation for repo2. At the same time, a third project could easily benefit from using both as dependencies."
280,10,25,2020-05-05 13:17:03.570850+00:00,1,0,"Repo1 is an API for a Kenyan mobile network operator, Repo2 is a collection of historical stock market data."
281,10,26,2020-05-05 14:10:57.406173+00:00,1,0,"as far as I can tell, these two are identical except for the title. I suspect this is spam created in order to sell some product or service."
282,10,27,2020-05-05 14:18:22.512590+00:00,3,21,Repo 2 is a plugin for a geographic information system. Repo 1 is a python library to generate simulated GPS data. Repo1 could conceivably be incorporated into Repo2 for testing purposes.
283,10,28,2020-05-05 14:29:05.313363+00:00,3,12,"Repo1 is a tool for managing jupyter notebooks across multiple nodes; jupyter uses the tornado web server, and the zmq message queue. Repo2 is a library for accessing a different message queue, Celery, from a tornado web server. If Repo1 wanted to replace zmq with Celery for some reason, they could use Repo2 to achieve that."
284,11,36,2020-05-05 17:04:11.117116+00:00,1,0,Both repos are not related in any aspects. First repo talks about some benchamarking tools and other repo is for slack API. So there is no synergy
285,11,37,2020-05-05 23:17:00.188880+00:00,1,0,There is no relation between both the repositories because the first repo explains about downloading stuff and the other repo discuss about Graph RNN
286,11,38,2020-05-05 23:22:05.225041+00:00,3,12,"Since the second repo explains about some data structures, it can be used for pattern matching especially for computation by matchpy in an efficient way. "
287,11,39,2020-05-06 00:20:50.748709+00:00,4,21,"Both repositories are related to each other. So, there is a strong synergy between them. Both are used for plotting and since the second repository deals with some sensor data and there is a need to plot it, the plotting library in first repo can be used to plot the data in a new dimension efficiently. "
288,11,40,2020-05-06 00:30:10.641318+00:00,2,2,Both repositories look similar but there is little difference and little synergy between them.
289,11,41,2020-05-06 00:50:08.916686+00:00,1,0,There is no synergy between the 2 repositories as they are not related to each other because the first repo is a socket library and another repo is a rendering tool for diagram. So synergy is not found between them at any perspective. 
290,11,42,2020-05-06 00:59:58.822092+00:00,2,21,"There is some synergy between two repositories but they arent very closely related with each other. Since Pyschema can be used for data, it will be benefitted for processing NLP data used in repo 2.  "
291,11,43,2020-05-06 01:06:06.729755+00:00,3,2,Synergy exists between both repositories but their complete functionalities are not clear. Both repositories are used for plotting but they can collectively contribute to new functionality or representation.
292,11,44,2020-05-06 02:28:44.606078+00:00,2,2,The first repo gives a detailed tutorial about ML and Neural networks with Python libraries. The second repo only gives an overview and implementation about machine learning algorithms. There can be little synergy between them
293,11,45,2020-05-06 11:42:44.732460+00:00,4,2,The first repository talks about Scrapy which is a data extraction library and other repository talks about Django querying. So both can be combined to develop some efficient tool for web scraping. So there is a strong synergy between them. 
294,11,46,2020-05-06 11:53:13.206495+00:00,3,21,"Since both, the repositories explain about 3D models or objects, they can be related to each other. From the first repo, it is clear that MCprep can be used with blender and can be saved as .STL files which can further be modified and worked using NumPy STL that was discussed in repo 2 and vice versa. But it is not clear that blender supports NumPy. But there exists synergy so that both features in repos can be combined to develop a new tool or technique in the future."
295,11,47,2020-05-06 11:58:58.729446+00:00,2,12,"Repository 2 handles mongo databases and the data from the databases can be used in the neural networks that were mentioned in repository 1. Since not all features are clear, there are chances for weak synergy between them. "
296,11,48,2020-05-06 12:16:54.037318+00:00,1,0,No synergy exists between both repositories as the first repo consists of solkutions to problems and second repo consists of color representation python library.
297,11,49,2020-05-06 12:26:01.468160+00:00,2,2,"It is really unclear to prove that there exists strong synergy but it can be given that it has little amount of synergy between them as the first repo discusses about hosting python or other web apps, so the neural networks deployed in python can also be hosted, but it is pretty unclear."
298,11,50,2020-05-06 13:15:41.144214+00:00,4,2,There exists a strong synergy between both repositories  but the difference is that there are some features that are uncommon between them.
300,10,30,2020-05-06 15:15:29.013847+00:00,2,21,already saw (a duplicate of?) this pair in #16 in opposite order; annotated accordingly
299,10,29,2020-05-06 15:13:17.372320+00:00,3,2,"very low confidence due to lack of subject area expertise, but: repo1 appears to be a database of gene sequences, repo2 some sort of software for gene sequencing. There could be some possibility for synergy?"
269,10,14,2020-05-05 10:11:15.836978+00:00,3,2,very low confidence for this annotation due to lack of subject area expertise: both Repositories do some kind of computational biology / gene sequence analysis
301,11,51,2020-05-06 15:27:41.724467+00:00,2,2,There can weak synergy as both deals with data but it is unclear. An optimal selection cannot be made.
302,11,52,2020-05-06 15:32:19.812349+00:00,4,21,"The first repository consists of dataset containing three languages, one among them is Turkish, so since the second repo consists of stemmer algorithm for Turkish language, it will be highly efficient to use Turkish dataset from the first repository (wikireading) . There is strong synergy between them."
303,11,53,2020-05-06 15:38:45.103074+00:00,2,21,There is a small synergy between both the repositories. The first repo explains about the installation of GNU/Linux systems whereas the second repo discusses about NLP toolkit that is GNU/Linux based. So this toolkit can be configured in the Linux systems configured using linux-salted mentioned in the first repo. 
304,11,54,2020-05-06 15:46:16.528666+00:00,3,12,"There is a medium level of synergy between both repositories. Using unipath from the second repo, it will ease the creation of rpm package mentioned in the first repo."
305,11,55,2020-05-06 16:07:57.717273+00:00,4,2,Both repositories are closely related to each other. The first repo explains about RBM which is a neural network. It can be verified in terms of robustness using ERAN from the second repo. So it's a good practice to verify a neural network. Thus there is a strong synergy between both repositories.
306,11,56,2020-05-06 17:01:25.366618+00:00,1,0,There seems to no synergy between the repositories as the information given is very abstract. 
307,11,57,2020-05-06 17:15:36.622016+00:00,4,2,"As both the repository deals with text data as part of NLP, it is pretty evident that many features can be combined to form a new dimension or feature. The syngergy is high o strong. "
308,11,58,2020-05-06 17:19:53.832636+00:00,3,2,There is a medium level synergy between two repositories. They both provide information about machine learning and deep learning while the first repo is focussed on providing general tutorials on machine learning whereas the second repo provides more detailed and wide explanantion about deep learning and many popular libraries.  
309,11,59,2020-05-06 17:46:06.268400+00:00,3,2,Both repositories are related to each other. The first repo talks about an interface library to be used with Xiaomi devices called as python-miio. The second repo consists of voltage checker python library. Features from both repos can be combined for better functionality. The voltage checker can be used and combined with python-miio to check the battery status and more added functionality. There exists synergy between them.
310,11,60,2020-05-06 17:53:32.720407+00:00,3,2,The first repository contains information on knitlib which is a library for knitting machines. The second repository contains pytest library for benchmarks code. The features from both repositories can be combined for new functionality (i.e.) The pytest library from second repo can be used along with knitlib to benchmark python code written for knitting machines. There exists a synergy between them.
